0104_1794026_1535_4575718;30 Jun 2017 23:59:35,115
0111_1767026_232_102;30 Jun 2017 10:21:05,168
0111_1767026_232_1042;30 Jun 2017 12:23:03,674
0111_1767026_232_1172;30 Jun 2017 12:53:21,654
0111_1767026_232_1319;30 Jun 2017 14:09:59,643
0111_1767026_232_1320;30 Jun 2017 14:10:21,484
0111_1767026_232_1425;30 Jun 2017 15:10:19,635
0111_1767026_232_1480;30 Jun 2017 15:40:22,549
0111_1767026_232_1492;30 Jun 2017 16:10:20,152
0111_1767026_232_1613;30 Jun 2017 16:10:52,207
0111_1767026_232_1625;30 Jun 2017 16:40:58,765
0111_1767026_232_1768;30 Jun 2017 17:41:18,594
0111_1767026_232_2042;30 Jun 2017 19:11:46,068
0111_1767026_232_2059;30 Jun 2017 20:11:45,090
0111_1767026_232_951;30 Jun 2017 11:23:02,548
0111_1775129_1584_1064;30 Jun 2017 12:23:07,657
0111_1775129_1584_1065;30 Jun 2017 12:23:07,689
0111_1775129_1584_1066;30 Jun 2017 12:23:07,720
0111_1775129_1584_1067;30 Jun 2017 12:23:07,751
0111_1775129_1584_1068;30 Jun 2017 12:23:07,783
0111_1775129_1584_1069;30 Jun 2017 12:23:07,814
0111_1775129_1584_1070;30 Jun 2017 12:23:07,855
0111_1775129_1584_1071;30 Jun 2017 12:23:07,882
0111_1775129_1584_1072;30 Jun 2017 12:23:07,913
0111_1775129_1584_1073;30 Jun 2017 12:23:07,950
0111_1775129_1584_1074;30 Jun 2017 12:23:07,986
0111_1775129_1584_1075;30 Jun 2017 12:23:08,017
0111_1775129_1584_1076;30 Jun 2017 12:23:08,058
0111_1775129_1584_1077;30 Jun 2017 12:23:08,085
0111_1775129_1584_1078;30 Jun 2017 12:23:08,111
0111_1775129_1584_1079;30 Jun 2017 12:23:08,152
0111_1775129_1584_1080;30 Jun 2017 12:23:08,179
0111_1775129_1584_1081;30 Jun 2017 12:23:08,210
0111_1775129_1584_1082;30 Jun 2017 12:23:08,247
0111_1775129_1584_1083;30 Jun 2017 12:23:08,262
0111_1775129_1584_1084;30 Jun 2017 12:23:08,298
0111_1775129_1584_1125;30 Jun 2017 12:23:25,883
0111_1775129_1584_1126;30 Jun 2017 12:23:25,910
0111_1775129_1584_1127;30 Jun 2017 12:23:25,941
